"Rank","Player","Team","Points","Games","Avg"
"1","Alvin Kamara","NO","377.8","15","25.2"
"2","Dalvin Cook","MIN","337.8","14","24.1"
"3","Derrick Henry","TEN","298.1","15","19.9"
"4","James Robinson","JAC","250.4","14","17.9"
"5","Aaron Jones","GB","240.4","13","18.5"
"6","David Montgomery","CHI","236.6","14","16.9"
"7","Jonathan Taylor","IND","214.4","14","15.3"
"8","Kareem Hunt","CLE","213.4","15","14.2"
"9","Josh Jacobs","LV","210.4","14","15.0"
"10","Ezekiel Elliott","DAL","208.6","14","14.9"
"11","Mike Davis","ATL","206.5","15","13.8"
"12","Antonio Gibson","WAS","193.1","13","14.9"
"13","Nick Chubb","CLE","190.9","11","17.4"
"14","Kenyan Drake","LV","184.1","14","13.2"
"15","J.D. McKissic","WAS","183.4","15","12.2"
"16","Nyheim Hines","IND","180.5","15","12.0"
"17","Chris Carson","SEA","177.5","11","16.1"
"18","Melvin Gordon III","DEN","177.4","14","12.7"
"19","Clyde Edwards-Helaire","KC","176.0","13","13.5"
"20","D'Andre Swift","DET","173.8","12","14.5"
"21","Ronald Jones II","TB","172.5","13","13.3"
"22","Miles Sanders","PHI","170.4","12","14.2"
"23","Chase Edmonds","ARI","163.5","15","10.9"
"24","Todd Gurley II","FA","158.7","14","11.3"
"25","David Johnson","HOU","158.5","11","14.4"
"26","Giovani Bernard","TB","157.4","15","10.5"
"27","James Conner","ARI","153.4","12","12.8"
"28","Austin Ekeler","LAC","148.2","9","16.5"
"29","Myles Gaskin","MIA","146.5","9","16.3"
"30","Devin Singletary","BUF","141.3","15","9.4"
"31","J.K. Dobbins","BAL","140.5","14","10.0"
"32","Latavius Murray","NO","136.2","15","9.1"
"33","Darrell Henderson","LAR","130.3","15","8.7"
"34","Wayne Gallman","SF","130.1","14","9.3"
"35","Leonard Fournette","TB","127.3","12","10.6"
"36","Jerick McKinnon","KC","124.6","14","8.9"
"37","Jamaal Williams","DET","124.5","13","9.6"
"38","Gus Edwards","BAL","120.2","15","8.0"
"39","Jeff Wilson Jr.","SF","118.5","11","10.8"
"40","Tony Pollard","DAL","114.4","15","7.6"
"41","Adrian Peterson","DET","112.2","15","7.5"
"42","Rex Burkhead","HOU","107.6","10","10.8"
"43","Malcolm Brown","MIA","106.3","15","7.1"
"44","James White","NE","103.5","13","8.0"
"45","Frank Gore","NYJ","100.2","15","6.7"
"46","Raheem Mostert","SF","99.7","8","12.5"
"47","Joe Mixon","CIN","99.6","6","16.6"
"48","Zack Moss","BUF","98.5","12","8.2"
"49","Damien Harris","NE","91.3","10","9.1"
"50","Cam Akers","LAR","91.2","11","8.3"
"51","Christian McCaffrey","CAR","90.3","3","30.1"
"52","Boston Scott","PHI","85.7","15","5.7"
