"Rank","Player","Team","Points","Games","Avg"
"1","Travis Kelce","KC","312.8","15","20.9"
"2","Darren Waller","LV","251.9","15","16.8"
"3","T.J. Hockenson","DET","169.8","15","11.3"
"4","Robert Tonyan","GB","166.8","15","11.1"
"5","Logan Thomas","WAS","163.9","15","10.9"
"6","Mark Andrews","BAL","163.4","13","12.6"
"7","Mike Gesicki","MIA","149.6","14","10.7"
"8","Hunter Henry","NE","145.3","14","10.4"
"9","Rob Gronkowski","TB","144.4","15","9.6"
"10","Eric Ebron","PIT","141.8","15","9.5"
"11","Jimmy Graham","CHI","141.1","15","9.4"
"12","Noah Fant","DEN","140.5","14","10.0"
"13","Jonnu Smith","NE","138.4","13","10.7"
"14","Evan Engram","NYG","137.3","15","9.2"
"15","Hayden Hurst","ATL","136.3","15","9.1"
"16","Dalton Schultz","DAL","132.5","15","8.8"
"17","Tyler Higbee","LAR","121.1","14","8.7"
"18","Dallas Goedert","PHI","116.4","11","10.6"
"19","Jared Cook","LAC","113.1","14","8.1"
"20","George Kittle","SF","111.3","7","15.9"
"21","Austin Hooper","CLE","99.8","12","8.3"
"22","Irv Smith Jr.","MIN","93.5","12","7.8"
"23","Dan Arnold","CAR","89.2","15","6.0"
"24","Gerald Everett","SEA","88.4","15","5.9"
"25","Trey Burton","IND","83.3","12","6.9"
"26","Jordan Akins","HOU","81.8","12","6.8"
"27","Tyler Eifert","JAC","80.9","14","5.8"
"28","Mo Alie-Cox","IND","80.4","14","5.7"
"29","Anthony Firkser","TEN","79.9","15","5.3"
"30","Darren Fells","DET","76.2","13","5.9"
"31","Drew Sample","CIN","75.4","15","5.0"
"32","Jordan Reed","SF","73.1","10","7.3"
"33","Zach Ertz","PHI","72.9","10","7.3"
"34","Richard Rodgers","PHI","70.5","11","6.4"
"35","Cameron Brate","TB","66.1","14","4.7"
"36","Kyle Rudolph","NYG","65.4","12","5.5"
"37","Jacob Hollister","BUF","64.3","15","4.3"
"38","Dawson Knox","BUF","61.9","10","6.2"
"39","Harrison Bryant","CLE","61.8","12","5.2"
"40","Jack Doyle","IND","59.4","13","4.6"
"41","Will Dissly","SEA","58.1","14","4.2"
"42","Chris Herndon IV","NYJ","54.4","13","4.2"
"43","Greg Olsen","FA","53.9","11","4.9"
"44","Durham Smythe","MIA","53.5","14","3.8"
"45","Cole Kmet","CHI","52.9","14","3.8"
"46","James O'Shaughnessy","JAC","52.2","14","3.7"
"47","David Njoku","CLE","49.0","10","4.9"
"48","Ross Dwelley","SF","45.4","15","3.0"
"49","Tyler Kroft","NYJ","41.9","10","4.2"
"50","Adam Shaheen","MIA","41.8","14","3.0"
"51","Ian Thomas","CAR","39.6","14","2.8"
"52","Jesse James","FA","37.7","15","2.5"
"53","O.J. Howard","TB","37.6","4","9.4"
"54","Tyler Conklin","MIN","37.4","13","2.9"
"55","Nick Boyle","BAL","37.3","9","4.1"
"56","Marcedes Lewis","GB","36.8","12","3.1"
"57","Adam Trautman","NO","36.6","11","3.3"
"58","Jason Witten","LV","31.9","12","2.7"
"59","Foster Moreau","LV","31.3","10","3.1"
"60","Donald Parham Jr.","LAC","31.2","11","2.8"
"61","Ryan Izzo","HOU","30.9","10","3.1"
"62","Nick Vannett","NO","29.5","12","2.5"
"63","Jace Sternberger","GB","29.4","10","2.9"
"64","Albert Okwuegbunam","DEN","29.1","4","7.3"
"65","Kaden Smith","NYG","26.6","14","1.9"
"66","Pharaoh Brown","HOU","26.5","11","2.4"
"67","Maxx Williams","ARI","24.2","6","4.0"
"68","Geoff Swaim","TEN","23.3","8","2.9"
"69","Darrell Daniels","ARI","23.2","10","2.3"
"70","C.J. Uzomah","CIN","22.7","2","11.4"
"71","Blake Bell","KC","22.2","13","1.7"
"72","MyCole Pruitt","SF","21.9","9","2.4"
"73","Lee Smith","ATL","19.5","7","2.8"
"74","Josh Hill","DET","18.6","11","1.7"
"75","","","18.4","10","1.8"
"76","Ryan Griffin","NYJ","17.6","12","1.5"
"77","Vance McDonald","FA","16.6","10","1.7"
"78","Virgil Green","LAC","14.0","6","2.3"
"79","Troy Fumagalli","NE","12.5","6","2.1"
"80","Demetrius Harris","CHI","11.5","11","1.1"
"81","Chris Manhertz","JAC","11.2","12","0.9"
"82","Luke Stocker","ATL","11.0","13","0.9"
"83","Stephen Anderson","LAC","10.4","11","1.0"
"84","Nick Keizer","KC","10.3","13","0.8"
"85","Johnny Mundt","LAR","9.3","10","0.9"
"86","Deon Yelder","WAS","8.0","10","0.8"
"87","Colin Thompson","CAR","7.7","10","0.8"
"88","Levine Toilolo","NYG","7.6","14","0.5"
"89","Jordan Thomas","IND","7.3","5","1.5"
"89","Jason Croom","PHI","7.3","3","2.4"
"91","Cethan Carter","MIA","7.2","12","0.6"
"92","Tanner Hudson","TB","7.1","8","0.9"
"93","Kahale Warring","HOU","6.5","6","1.1"
"94","Jaeden Graham","ATL","5.5","13","0.4"
"95","Hunter Bryant","DET","5.4","3","1.8"
"96","Charlie Woerner","SF","5.3","10","0.5"
"97","Stephen Carlson","CLE","4.1","11","0.4"
"98","Ben Ellefson","JAC","4.0","5","0.8"
"99","Colby Parkinson","SEA","3.6","1","3.6"
"100","Dalton Keene","NE","3.0","4","0.8"
"101","Eric Saubert","DEN","2.7","6","0.5"
"102","Jake Butt","CHI","2.5","5","0.5"
"103","Derek Carrier","LV","2.4","11","0.2"
"104","Dominique Dafney","GB","2.3","2","1.2"
"104","Daniel Brown","NYJ","2.3","12","0.2"
"106","Josiah Deguara","GB","2.2","2","1.1"
"106","Blake Jarwin","DAL","2.2","1","2.2"
"106","Luke Willson","SEA","2.2","6","0.4"
"109","Temarrick Hemingway","WAS","2.0","4","0.5"
"110","Jeremy Sprinkle","DAL","1.6","11","0.2"
"110","Brandon Dillon","MIN","1.6","1","1.6"
"112","Trevon Wesco","NYJ","1.5","10","0.2"
"113","Isaac Nauta","GB","1.3","3","0.4"
"114","Marcus Baugh","WAS","1.2","6","0.2"
"114","Bruce Miller","JAC","1.2","8","0.2"
"116","Brycen Hopkins","LAR","0.0","1","0.0"
"116","Stephen Sullivan","CAR","0.0","1","0.0"
"116","Seth DeValve","ARI","0.0","2","0.0"
"116","Chris Myarick","MIA","0.0","1","0.0"
"116","Jake Bargas","MIN","0.0","1","0.0"
"116","Caleb Wilson","PHI","0.0","1","0.0"
"116","Ricky Seals-Jones","WAS","0.0","2","0.0"
"116","Antony Auclair","HOU","0.0","2","0.0"
"116","Daniel Helm","SF","0.0","2","0.0"
"116","Sean McKeon","DAL","0.0","7","0.0"
"116","Devin Asiasi","NE","0.0","7","0.0"
"116","J.P. Holtz","CHI","0.0","14","0.0"
"116","Clark Harris","CIN","0.0","10","0.0"
"116","Kyle Nelson","FA","0.0","3","0.0"
"116","Eric Tomlinson","BAL","0.0","4","0.0"
"116","Beau Brinkley","FA","0.0","5","0.0"
"116","Andrew Beck","DEN","0.0","6","0.0"
"116","Rashod Berry","NE","0.0","2","0.0"
"116","Noah Togiai","IND","0.0","3","0.0"
"116","Farrod Green","IND","0.0","1","0.0"
"116","Tyler Davis","JAC","0.0","4","0.0"
"116","Mason Schreck","CIN","0.0","9","0.0"
"116","Garrett Griffin","NO","0.0","2","0.0"
"116","Evan Baylis","KC","0.0","3","0.0"
"116","Matt Sokol","LAC","0.0","1","0.0"
""
""
