"Rank","name","Team","Points","Games","Avg"
"1","Jason Sanders","MIA","163.0","15","10.9"
"2","Younghoe Koo","ATL","159.0","14","11.4"
"3","Daniel Carlson","LV","149.0","15","9.9"
"3","Tyler Bass","BUF","149.0","15","9.9"
"5","Rodrigo Blankenship","IND","142.0","15","9.5"
"6","Greg Zuerlein","DAL","137.0","15","9.1"
"6","Justin Tucker","BAL","137.0","15","9.1"
"8","Harrison Butker","KC","131.0","15","8.7"
"8","Ryan Succop","TB","131.0","15","8.7"
"10","Jason Myers","SEA","130.0","15","8.7"
"11","Cairo Santos","CHI","129.0","15","8.6"
"12","Joey Slye","CAR","128.0","15","8.5"
"13","Graham Gano","NYG","126.0","15","8.4"
"14","Brandon McManus","DEN","125.0","14","8.9"
"14","Wil Lutz","NO","125.0","15","8.3"
"16","Nick Folk","NE","119.0","15","7.9"
"16","Stephen Gostkowski","TEN","119.0","15","7.9"
"18","Dustin Hopkins","WAS","118.0","15","7.9"
"19","Michael Badgley","LAC","116.0","15","7.7"
"20","Mason Crosby","GB","115.0","15","7.7"
"20","Ka'imi Fairbairn","HOU","115.0","15","7.7"
"22","Matt Prater","ARI","110.0","15","7.3"
"23","Robbie Gould","SF","106.0","15","7.1"
"24","Cody Parkey","CLE","104.0","14","7.4"
"25","Randy Bullock","DET","100.0","12","8.3"
"25","Chris Boswell","PIT","100.0","13","7.7"
"27","Zane Gonzalez","FA","98.0","12","8.2"
"28","Dan Bailey","FA","83.0","15","5.5"
"29","Jake Elliott","PHI","73.0","15","4.9"
"30","Matt Gay","LAR","56.0","6","9.3"
"31","Sam Ficken","NYJ","54.0","9","6.0"
"32","Sam Sloman","TEN","43.0","7","6.1"
"33","Aldrick Rosas","JAC","37.0","5","7.4"
"34","Sergio Castillo","NYJ","36.0","6","6.0"
"35","Mike Nugent","ARI","29.0","3","9.7"
"36","Josh Lambo","JAC","28.0","4","7.0"
"37","Austin Seibert","CIN","24.0","4","6.0"
"38","Chase McLaughlin","CLE","18.0","3","6.0"
"39","Kai Forbath","LAR","10.0","2","5.0"
"40","Matthew Wright","DET","9.0","2","4.5"
"41","Elliott Fry","ATL","4.0","1","4.0"
"41","Jonathan Brown","JAC","4.0","1","4.0"
"43","Stephen Hauschka","FA","2.0","1","2.0"
"44","Brandon Wright","LAR","1.0","1","1.0"
"44","Taylor Russolino","DEN","1.0","1","1.0"
"46","Ty Long","LAC","-2.8","15","-0.2"
