"Rank","name","Team","Points","Games","Avg"
"1","Davante Adams","GB","341.8","13","26.3"
"2","Tyreek Hill","KC","328.9","15","21.9"
"3","Stefon Diggs","BUF","314.0","15","20.9"
"4","DeAndre Hopkins","ARI","280.3","15","18.7"
"5","Calvin Ridley","ATL","270.9","14","19.4"
"6","D.K. Metcalf","SEA","266.2","15","17.8"
"7","Allen Robinson II","CHI","257.2","15","17.2"
"8","Justin Jefferson","MIN","251.9","15","16.8"
"9","Keenan Allen","LAC","245.1","14","17.5"
"10","Adam Thielen","MIN","244.3","14","17.5"
"11","Mike Evans","TB","241.0","15","16.1"
"12","Robert Woods","LAR","237.5","15","15.8"
"13","Tyler Lockett","SEA","232.4","15","15.5"
"14","Amari Cooper","DAL","226.7","15","15.1"
"15","Robby Anderson","CAR","217.2","15","14.5"
"16","A.J. Brown","TEN","216.4","13","16.7"
"17","JuJu Smith-Schuster","PIT","215.6","15","14.4"
"18","Diontae Johnson","PIT","209.2","14","14.9"
"19","Cooper Kupp","LAR","208.7","15","13.9"
"20","CeeDee Lamb","DAL","208.1","15","13.9"
"21","Cole Beasley","BUF","207.5","15","13.8"
"22","Terry McLaurin","WAS","206.8","14","14.8"
"23","D.J. Moore","CAR","196.4","14","14.0"
"24","Tee Higgins","CIN","194.6","15","13.0"
"25","Chase Claypool","PIT","193.8","15","12.9"
"26","Curtis Samuel","WAS","193.0","14","13.8"
"27","Brandin Cooks","HOU","192.4","14","13.7"
"28","Tyler Boyd","CIN","190.4","14","13.6"
"29","Marvin Jones Jr.","JAC","189.8","15","12.7"
"30","Will Fuller V","MIA","188.9","11","17.2"
"31","Brandon Aiyuk","SF","184.5","12","15.4"
"32","Corey Davis","NYJ","182.5","13","14.0"
"33","Nelson Agholor","NE","178.9","15","11.9"
"34","Jarvis Landry","CLE","171.6","14","12.3"
"35","Jamison Crowder","NYJ","164.9","11","15.0"
"36","Michael Gallup","DAL","164.4","15","11.0"
"37","Marquise Brown","BAL","161.9","15","10.8"
"38","Chris Godwin","TB","160.7","11","14.6"
"39","Russell Gage","ATL","155.9","15","10.4"
"40","Tim Patrick","DEN","154.6","14","11.0"
"41","D.J. Chark Jr.","JAC","153.6","13","11.8"
"42","T.Y. Hilton","IND","150.5","14","10.8"
"43","Keelan Cole Sr.","NYJ","150.1","15","10.0"
"44","DeVante Parker","MIA","147.7","13","11.4"
"45","Christian Kirk","ARI","146.4","14","10.5"
"46","Julio Jones","TEN","146.1","9","16.2"
"47","Emmanuel Sanders","BUF","143.5","13","11.0"
"48","Darius Slayton","NYG","136.8","15","9.1"
"49","Laviska Shenault Jr.","JAC","132.5","13","10.2"
"50","Darnell Mooney","CHI","131.8","15","8.8"
"51","Greg Ward","PHI","130.9","15","8.7"
"52","Mike Williams","LAC","130.9","14","9.4"
"53","Zach Pascal","IND","130.8","15","8.7"
"54","Jerry Jeudy","DEN","130.6","15","8.7"
"55","Sterling Shepard","NYG","128.9","11","11.7"
"56","Hunter Renfrow","LV","126.2","15","8.4"
"57","Mecole Hardman","KC","125.6","15","8.4"
"58","Jakobi Meyers","NE","124.3","13","9.6"
"59","Marquez Valdes-Scantling","GB","120.2","14","8.6"
"60","Gabriel Davis","BUF","118.2","15","7.9"
"61","Josh Reynolds","TEN","117.4","15","7.8"
"62","David Moore","CAR","117.3","15","7.8"
"63","Kendrick Bourne","NE","117.1","14","8.4"
"64","Rashard Higgins","CLE","113.4","12","9.5"
"64","Travis Fulgham","PHI","113.4","12","9.5"
"66","Damiere Byrd","CHI","112.8","14","8.1"
"67","A.J. Green","ARI","111.3","15","7.4"
"68","Anthony Miller","CHI","105.4","15","7.0"
