name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,FGM,FGA,FGpercent,EPM,EPA,team
Harrison Butker,KC,K,174,172.4,1,1.5,10,1,20,12,23,1.,143.0,8.9,16,1094.7,34,38,89.5%,45,48,KC
Wil Lutz,NO,K,182,183.7,3,3.2,10,1,5,1,27,2.,140.0,8.8,16,1152.45,32,36,88.9%,48,49,NO
Justin Tucker,BAL,K,177,174.8,2,1.8,10,1,26,20,31,3.,140.0,8.8,16,1119.3,28,29,96.6%,57,59,BAL
Zane Gonzalez,ARI,K,216,225.0,8,9.2,11,2,18,14,15,4.,123.0,7.7,16,1427.1,31,35,88.6%,34,35,ARI
Dan Bailey,MIN,K,241,244.6,11,13.1,11,3,7,6,20,5.,119.0,7.4,16,1576.35,27,29,93.1%,40,44,MIN
Josh Lambo,JAC,K,282,284.6,19,21.9,12,4,12,8,16,6.,117.0,7.3,16,1879.5,33,34,97.1%,19,20,JAC
Matt Gay,FA,K,256,219.1,20,11.0,12,4,32,32,32,7.,116.0,7.3,16,1590.3,27,35,77.1%,43,48,TB
Chris Boswell,PIT,K,257,259.2,14,14.9,12,3,28,25,26,8.,113.0,7.1,16,1701.3,29,31,93.5%,28,28,PIT
Matt Prater,DET,K,211,218.1,6,7.9,11,2,4,23,1,9.,108.0,6.8,16,1371.0,26,31,83.9%,35,36,DET
Brandon McManus,DEN,K,253,254.8,16,15.9,12,3,32,30,18,10.,107.0,6.7,16,1688.1,29,34,85.3%,25,26,DEN
Greg Zuerlein,DAL,K,191,190.1,4,4.1,10,1,21,16,22,11.,105.0,6.6,16,1216.35,24,33,72.7%,42,42,LAR
Mason Crosby,GB,K,239,244.7,13,14.9,11,3,13,18,13,12.,104.0,6.5,16,1586.55,22,24,91.7%,40,41,GB
Jason Myers,SEA,K,250,253.1,12,14.6,12,3,6,11,5,13.,104.0,6.5,16,1638.6,23,28,82.1%,40,44,SEA
Robbie Gould,SF,K,203,206.5,5,6.1,11,2,2,2,17,14.,102.0,7.8,13,1302.3,23,31,74.2%,41,42,SF
Randy Bullock,CIN,K,326,308.8,25,26.2,13,5,30,31,19,15.,101.0,6.3,16,2134.5,27,31,87.1%,24,25,CIN
Austin Seibert,CLE,K,278,281.8,18,19.9,12,4,29,29,10,16.,101.0,6.3,16,1862.85,25,29,86.2%,30,35,CLE
Joey Slye,CAR,K,267,269.6,17,19.0,12,4,3,9,7,17.,99.0,6.2,16,1768.05,25,32,78.1%,31,35,CAR
Jake Elliott,PHI,K,219,224.2,7,8.9,11,2,17,24,9,18.,97.0,6.1,16,1429.05,22,26,84.6%,35,37,PHI
Ka'imi Fairbairn,HOU,K,225,230.5,10,11.4,11,3,19,28,3,19.,95.0,5.9,16,1486.95,20,25,80.0%,40,45,HOU
Dustin Hopkins,WAS,K,308,305.9,22,26.2,13,4,25,27,14,20.,91.0,5.7,16,2056.05,25,30,83.3%,21,22,WAS
Eddy Pineiro,CHI,K,380,313.7,31,28.4,14,5,8,5,25,21.,91.0,5.7,16,2322.3,23,28,82.1%,27,29,CHI
Jason Sanders,MIA,K,368,312.0,30,27.2,14,5,31,32,8,22.,91.0,5.7,16,2291.85,23,30,76.7%,29,30,MIA
Steve Hauschka,,K,500,500,500,500,0,0,32,32,32,23.,90.0,5.6,16,10000.0,22,28,78.6%,30,32,BUF
Brett Maher,FA,K,320,293.1,34,26.5,13,5,32,32,32,24.,86.0,6.6,13,2098.8,20,30,66.7%,36,36,DAL
Daniel Carlson,LV,K,301,298.5,21,24.4,13,4,22,13,29,25.,84.0,5.3,16,2002.2,19,26,73.1%,34,36,LV
Younghoe Koo,ATL,K,242,241.4,9,11.0,11,3,14,7,21,26.,81.0,10.1,8,1562.7,23,26,88.5%,15,16,ATL
Chase McLaughlin,FA,K,318,294.9,26,23.0,13,5,32,32,32,27.,75.0,6.8,11,2063.7,18,23,78.3%,26,26,LAC
Sam Ficken,NYJ,K,408,324.8,36,30.6,14,5,24,26,12,28.,72.0,4.8,15,2473.2,19,27,70.4%,23,26,NYJ
Aldrick Rosas,FA,K,335,296.7,39,28.1,13,6,32,32,32,29.,66.0,4.1,16,2177.4,12,17,70.6%,35,39,NYG
Adam Vinatieri,FA,K,386,304.0,40,32.4,14,6,32,32,32,30.,65.0,5.4,12,2371.2,17,25,68.0%,22,28,IND
Mike Badgley,,K,500,500,500,500,0,0,32,32,32,31.,55.0,6.9,8,10000.0,13,16,81.3%,19,19,LAC
Nick Folk,FA,K,429,292.6,38,27.9,15,6,32,32,32,32.,51.0,7.3,7,2449.5,14,17,82.4%,12,12,NE
Kai Forbath,FA,K,395,308.5,42,34.8,14,6,32,32,32,33.,44.0,11.0,4,2424.9,11,11,100.0%,11,12,NE
Matt Bryant,,K,457,234.0,500,500,15,0,32,32,32,34.,36.0,4.5,8,10000.0,9,14,64.3%,14,15,ATL
Stephen Gostkowski,TEN,K,310,254.2,23,20.0,13,4,16,10,24,35.,31.0,7.8,4,1884.6,7,8,87.5%,11,15,NE
Ty Long,,K,500,500,500,500,0,0,32,32,32,36.,28.0,7.0,4,10000.0,7,9,77.8%,9,9,LAC
Mike Nugent,,K,500,500,500,500,0,0,32,32,32,37.,27.0,6.8,4,10000.0,5,8,62.5%,15,16,NE
Ryan Succop,TB,K,351,246.5,24,14.6,14,5,15,22,6,38.,22.0,3.7,6,1976.55,1,6,16.7%,24,25,TEN
Cairo Santos,FA,K,500,500,43,35.8,0,6,32,32,32,39.,19.0,3.8,5,10000.0,4,9,44.4%,12,12,TEN
Cody Parkey,,K,500,500,500,500,0,0,32,32,32,40.,14.0,4.7,3,10000.0,3,3,100.0%,5,6,TEN
Greg Joseph,FA,K,388,311.6,37,28.9,14,6,32,32,32,41.,9.0,4.5,2,2380.5,0,0,0.0%,9,9,TEN
Kaare Vedvik,,K,500,500,500,500,0,0,32,32,32,42.,-1.0,-1.0,1,10000.0,0,1,0.0%,0,1,NYJ
Michael Badgley,LAC,K,236,243.2,15,15.1,11,3,1,4,11,0,0.0,0.0,0,1570.65,0,0,0.0,0,0
Sam Sloman,LAR,K,359,283.6,27,23.5,14,5,23,17,28,0,0.0,0.0,0,2153.55,0,0,0.0,0,0
Justin Rohrwasser,FA,K,329,290.0,28,23.4,13,5,32,32,32,0,0.0,0.0,0,2089.2,0,0,0.0,0,0
Tyler Bass,BUF,K,370,285.5,29,22.4,14,5,11,3,32,0,0.0,0.0,0,2185.95,0,0,0.0,0,0
Stephen Hauschka,FA,K,307,279.9,32,22.5,13,5,32,32,32,0,0.0,0.0,0,2002.2,0,0,0.0,0,0
Graham Gano,NYG,K,383,309.1,33,26.2,14,5,9,21,2,0,0.0,0.0,0,2317.65,0,0,0.0,0,0
Rodrigo Blankenship,IND,K,401,278.9,35,24.1,14,5,10,15,4,0,0.0,0.0,0,2281.5,0,0,0.0,0,0
Chandler Catanzaro,FA,K,474,285.5,41,33.6,15,6,32,32,32,0,0.0,0.0,0,2589.3,0,0,0.0,0,0
Lirim Hajrullahu,FA,K,500,500,44,34.7,0,6,32,32,32,0,0.0,0.0,0,10000.0,0,0,0.0,0,0
