name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,recTarget,receptions,recYard,recTD
Travis Kelce,KC,TE,17,17.4,1,1.3,3,1,21,18,15,1.,157.3,9.8,16,50.55,136,97,"1,229",5
Mark Andrews,BAL,TE,34,36.0,3,3.5,4,1,13,9,28,2.,143.2,9.5,15,93.23,98,64,852,10
George Kittle,SF,TE,19,18.7,2,1.8,3,1,5,3,20,3.,137.5,9.8,14,51.43,107,85,"1,053",5
Darren Waller,LV,TE,55,57.1,5,5.3,6,2,17,13,25,4.,131.0,8.2,16,148.12,117,90,"1,145",3
Zach Ertz,PHI,TE,41,41.0,4,3.8,5,1,7,16,2,5.,125.6,8.4,15,107.31,135,88,916,6
Jared Cook,NO,TE,112,118.6,12,13.1,8,3,1,1,10,6.,124.5,8.9,14,293.65,65,43,705,9
Austin Hooper,CLE,TE,108,114.9,10,12.5,8,3,30,31,12,7.,114.7,8.8,13,290.29,97,75,787,6
Hunter Henry,LAC,TE,83,85.7,7,8.4,7,2,11,7,29,8.,93.2,7.8,12,215.44,76,55,652,5
Tyler Higbee,LAR,TE,84,85.9,8,8.7,7,2,8,15,4,9.,91.4,6.5,14,217.36,89,69,734,3
Dallas Goedert,PHI,TE,127,132.4,16,15.3,9,3,7,16,2,10.,86.7,5.8,15,334.9,87,58,607,5
Mike Gesicki,MIA,TE,110,115.0,11,12.9,8,3,32,30,27,11.,85.0,5.7,15,294.69,89,51,570,5
Darren Fells,HOU,TE,317,288.6,37,37.2,13,6,24,28,8,12.,76.1,5.1,15,775.28,48,34,341,7
Jason Witten,LV,TE,353,319.8,45,43.6,14,6,17,13,25,13.,74.9,4.7,16,864.22,83,63,529,4
Kyle Rudolph,MIN,TE,215,224.8,27,28.0,11,5,3,2,19,14.,72.7,4.8,15,562.71,48,39,367,6
Greg Olsen,SEA,TE,198,204.7,24,25.7,10,4,19,24,5,15.,71.7,5.1,14,518.26,82,52,597,2
Noah Fant,DEN,TE,125,131.0,15,15.1,9,3,15,19,6,16.,71.0,4.4,16,332.04,66,40,562,3
Jonnu Smith,TEN,TE,128,132.2,17,15.6,9,3,20,20,13,17.,69.7,4.6,15,340.78,44,35,439,3
Jack Doyle,IND,TE,143,145.9,19,18.2,9,4,14,11,23,18.,68.8,4.6,15,376.86,72,43,448,4
