name,proTeam,position,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,composite,recTarget,receptions,recYard,recTD,rushAtt,rushYard,rushTD
Michael Thomas,NO,WR,5,5.8,1,1.1,1,1,7,6,18,1.,225.6,14.1,16,15.82,185,149,"1,725",9,1,-9,0
Chris Godwin,TB,WR,16,16.9,6,6.3,3,2,2,4,5,2.,188.1,13.4,14,48.16,120,86,"1,333",9,1,8,0
Kenny Golladay,DET,WR,23,23.9,8,9.3,4,2,13,21,4,3.,183.0,11.4,16,69.78,116,65,"1,190",11,0,0,0
Cooper Kupp,LAR,WR,35,36.0,16,15.5,4,3,19,14,28,4.,176.5,11.0,16,108.54,134,94,"1,161",10,2,4,0
Julio Jones,ATL,WR,10,11.6,3,3.4,2,1,1,1,21,5.,175.1,11.7,15,29.69,157,99,"1,394",6,2,-3,0
DeVante Parker,MIA,WR,54,56.9,25,26.0,6,4,28,31,10,6.,174.2,10.9,16,169.95,128,72,"1,202",9,0,0,0
Amari Cooper,DAL,WR,33,34.0,15,14.6,4,3,5,3,13,7.,167.5,10.5,16,99.61,119,79,"1,189",8,1,6,0
AJ Brown,TEN,WR,40,40.8,18,18.4,5,4,16,22,9,8.,165.1,10.3,16,123.69,84,52,"1,051",8,3,60,1
Mike Evans,TB,WR,27,29.1,11,12.1,4,3,2,4,5,9.,163.7,12.6,13,82.36,118,67,"1,157",8,0,0,0
DeAndre Hopkins,ARI,WR,14,16.1,5,5.8,3,2,11,7,27,10.,160.3,10.7,15,46.22,150,104,"1,165",7,2,18,0
Keenan Allen,LAC,WR,46,45.9,22,20.8,5,4,18,20,15,11.,157.5,9.8,16,140.79,149,104,"1,199",6,3,16,0
Allen Robinson,CHI,WR,21,22.7,7,8.7,3,2,14,5,32,12.,156.9,9.8,16,64.5,154,98,"1,147",7,1,2,0
Jarvis Landry,CLE,WR,64,66.1,29,29.8,6,5,24,29,12,13.,154.4,9.7,16,195.6,138,83,"1,174",6,1,10,0
Tyler Lockett,SEA,WR,44,45.5,21,20.7,5,4,3,8,3,14.,153.2,9.6,16,133.9,110,82,"1,057",8,4,-5,0
DJ Chark,JAC,WR,42,43.6,19,19.7,5,4,10,9,22,15.,150.8,10.1,15,129.01,118,73,"1,008",8,2,20,0
Stefon Diggs,BUF,WR,58,61.0,27,27.9,6,5,22,11,31,16.,149.1,9.9,15,180.88,94,63,"1,130",6,5,61,0
Courtland Sutton,DEN,WR,50,50.0,23,22.9,5,4,32,32,19,17.,148.9,9.3,16,154.75,125,72,"1,112",6,3,17,0
Julian Edelman,NE,WR,68,71.3,32,32.1,6,5,20,13,29,18.,148.4,9.3,16,208.43,153,100,"1,117",6,8,27,0
Michael Gallup,DAL,WR,65,67.9,30,30.5,6,5,5,3,13,19.,146.7,10.5,14,195.37,113,66,"1,107",6,0,0,0
DJ Moore,CAR,WR,25,28.0,9,11.0,4,3,4,2,14,20.,143.5,9.6,15,76.95,135,87,"1,175",4,6,40,0
Robert Woods,LAR,WR,32,33.5,14,14.2,4,3,19,14,28,21.,142.9,9.5,15,100.18,139,90,"1,134",2,17,115,1
John Brown,BUF,WR,99,104.0,42,44.9,8,6,22,11,31,22.,142.7,9.5,15,293.93,115,72,"1,060",6,2,7,0
Terry McLaurin,WAS,WR,43,44.4,20,20.1,5,4,9,12,11,23.,133.9,9.6,14,131.81,93,58,919,7,0,0,0
Tyler Boyd,CIN,WR,60,62.0,28,28.1,6,5,27,24,25,24.,132.9,8.3,16,186.06,148,90,"1,046",5,4,23,0
Calvin Ridley,ATL,WR,36,37.4,17,16.5,5,3,1,1,21,25.,132.0,10.2,13,109.39,93,63,866,7,2,34,0
Marvin Jones,DET,WR,76,78.7,34,35.4,7,5,13,21,4,26.,131.9,10.1,13,227.38,91,62,779,9,2,0,0
