name,Points,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,sack,FR,intercept,TD,PA,passYPG,rushYPG,safety,kickTD
PIT,144.0,161,147.8,2,2.3,10,1,4,6,4,1.0,156.0,9.8,16,54,18,20,3,303,215.9,109.6,1,1
MIA,140.0,356,308.5,30,27.3,14,5,17,19,7,31.0,69.0,4.3,16,23,3,13,1,494,272.1,135.5,1,1
IND,137.0,223,224.0,15,14.3,11,4,8,21,1,11.0,109.0,6.8,16,41,8,15,1,373,264.4,97.9,2,2
LAR,131.0,201,194.7,10,10.7,11,3,6,3,27,6.0,124.0,7.8,16,50,11,13,4,364,245.5,113.1,1,0
BAL,130.0,163,152.0,3,3.1,10,1,7,11,5,8.0,122.0,7.6,16,36,12,13,6,282,223.9,92.9,0,0
WAS,117.0,281,284.1,23,22.4,12,5,21,16,30,18.0,96.0,6.0,16,46,9,13,0,435,255.8,146.2,0,1
TB,112.0,235,237.5,16,15.5,11,4,18,13,15,3.0,139.0,8.7,16,47,16,12,6,449,290.4,73.8,0,0
KC,107.0,187,185.9,7,8.4,10,2,30,28,18,9.0,115.0,7.2,16,45,7,16,3,308,242.6,128.2,0,1
NO,107.0,176,176.6,6,7.0,10,2,2,1,24,7.0,123.0,7.7,16,51,10,13,3,341,262.6,91.4,1,1
SEA,98.0,226,228.0,17,16.3,11,4,5,12,2,10.0,110.0,6.9,16,28,16,16,3,398,275.4,117.7,0,0
NE,98.0,173,167.5,5,6.5,10,2,14,7,17,2.0,151.0,9.4,16,47,11,25,5,225,200.9,95.5,1,0
ARI,98.0,325,307.4,28,27.0,13,5,3,4,9,28.0,74.0,4.6,16,40,10,7,0,442,299.1,120.1,0,0
CAR,98.0,304,302.9,27,26.8,13,5,11,9,16,13.0,103.0,6.4,16,53,7,14,1,470,249.8,143.5,1,0
BUF,97.0,170,161.7,4,4.6,10,2,9,5,19,16.0,98.0,6.1,16,44,9,14,0,259,213.8,103.1,1,1
NYG,94.0,369,317.7,32,29.9,14,5,20,18,12,25.0,80.0,5.0,16,34,6,10,2,451,279.4,113.3,1,0
CLE,94.0,245,249.8,20,18.8,12,4,13,14,10,22.0,84.0,5.3,16,38,6,14,1,393,233.8,144.7,0,0
PHI,93.0,206,209.7,11,12.1,11,3,23,23,21,14.0,100.0,6.3,16,42,9,11,3,354,258.5,90.1,0,0
CHI,91.0,181,175.9,8,8.6,10,2,32,26,32,23.0,82.0,5.1,16,32,9,10,1,298,237.3,102.0,0,1
GB,88.0,232,237.1,18,16.7,11,4,27,25,29,19.0,91.0,5.7,16,41,8,17,0,313,251.0,120.1,0,0
SF,86.0,160,144.6,1,1.6,9,1,1,2,25,4.0,134.0,8.4,16,48,15,12,5,310,192.1,112.6,1,0
ATL,73.0,297,295.9,25,25.1,12,5,12,15,11,21.0,86.0,5.4,16,28,8,12,2,399,258.6,110.9,0,1
DAL,70.0,238,243.7,19,17.6,11,4,24,22,23,27.0,79.0,4.9,16,39,10,7,1,321,242.4,103.5,0,0
LAC,68.0,212,207.5,13,13.0,11,3,26,24,31,32.0,64.0,4.0,16,30,3,11,0,345,212.1,112.8,0,1
NYJ,65.0,254,253.4,21,20.6,12,4,16,17,13,15.0,99.0,6.2,16,29,9,12,4,359,250.1,86.9,2,0
TEN,64.0,213,221.3,14,14.5,11,4,19,10,28,12.0,109.0,6.8,16,43,9,14,3,331,272.3,104.5,1,0
DEN,63.0,204,210.5,12,12.9,11,3,31,31,26,26.0,80.0,5.0,16,40,7,10,1,316,238.9,111.4,0,0
MIN,59.0,194,192.8,9,10.5,10,3,29,30,22,5.0,126.0,7.9,16,48,14,17,2,303,256.2,108.0,2,0
JAC,57.0,291,287.1,24,24.3,12,5,10,8,14,17.0,97.0,6.1,16,47,9,10,2,397,255.5,139.3,0,0
CIN,47.0,375,324.1,31,29.6,14,5,15,20,8,30.0,71.0,4.4,16,31,5,11,0,420,257.6,148.9,1,1
HOU,41.0,275,274.0,22,22.3,12,5,22,27,3,20.0,87.0,5.4,16,31,10,12,2,385,280.7,121.1,0,0
LV,38.0,331,308.9,29,26.8,13,5,28,29,20,29.0,74.0,4.6,16,32,6,9,2,419,272.2,98.1,0,0
DET,30.0,303,303.6,26,25.9,13,5,25,32,6,24.0,82.0,5.1,16,28,11,7,1,423,296.2,115.9,0,2
