name,Team,Points,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,rushAtt,rushYard,rushTD,recTarget,receptions,recYard,recTD
Alvin Kamara,NO,377.8,4,3.8,4,3.7,1,1,22,16,28,15.0,167.0,11.9,14,171,797,5,97,81,533,1
Dalvin Cook,MIN,337.8,6,6.9,5,5.7,2,2,3,9,3,5.0,239.4,17.1,14,250,"1,135",13,63,53,519,0
Derrick Henry,TEN,298.1,8,11.1,6,7.6,2,2,7,5,13,2.0,276.6,18.4,15,303,"1,540",16,24,18,206,2
Aaron Jones,GB,240.4,22,23.4,13,12.4,3,3,10,14,12,3.0,265.8,16.6,16,236,"1,084",16,68,49,474,3
David Montgomery,CHI,236.6,75,77.9,30,29.1,7,5,8,10,7,22.0,145.4,9.1,16,242,889,6,35,25,185,1
Kareem Hunt,CLE,213.4,61,62.3,24,24.3,6,4,32,32,18,53.0,64.4,8.1,8,43,179,2,44,37,285,1
Josh Jacobs,LV,210.4,20,22.6,12,12.1,3,3,2,3,2,14.0,171.6,13.2,13,242,"1,150",7,27,20,166,0
Ezekiel Elliott,DAL,208.6,3,3.4,3,3.3,1,1,23,20,25,4.0,257.7,16.1,16,301,"1,357",12,71,54,420,2
Mike Davis,ATL,206.5,537,403.0,187,110.7,16,12,32,32,32,121.0,4.9,1.0,5,13,27,0,8,7,22,0
Kenyan Drake,LV,184.1,18,17.6,11,10.2,3,3,26,28,17,19.0,162.2,11.6,14,170,817,8,68,50,345,0
Nyheim Hines,IND,180.5,151,145.8,48,49.0,9,6,5,1,20,54.0,61.9,3.9,16,52,199,2,58,44,320,0
Melvin Gordon,DEN,177.4,47,46.4,18,19.5,5,4,1,2,1,25.0,138.8,11.6,12,162,612,8,55,42,296,1
Ronald Jones,TB,172.5,106,109.5,37,38.3,8,5,6,8,6,27.0,135.3,8.5,16,172,724,6,40,31,309,0
Chase Edmonds,ARI,163.5,155,156.3,51,51.3,9,6,26,28,17,51.0,70.8,7.1,10,60,303,4,21,12,105,1
Todd Gurley,FA,158.7,37,38.8,16,17.3,5,4,14,24,4,12.0,186.4,12.4,15,223,857,12,49,31,207,2
Giovani Bernard,TB,157.4,199,195.2,60,61.6,10,7,29,29,22,74.0,38.4,2.4,16,53,170,0,43,30,234,0
Devin Singletary,BUF,141.3,72,73.7,28,27.6,6,5,27,19,32,31.0,118.9,9.9,12,151,775,2,41,29,194,2
Latavius Murray,NO,136.2,115,118.4,41,41.1,8,6,22,16,28,30.0,123.2,7.7,16,146,637,5,43,34,235,1
Darrell Henderson,LAR,130.3,138,142.6,45,47.1,9,6,30,27,27,94.0,18.4,2.6,7,39,147,0,6,4,37,0
Wayne Gallman,SF,130.1,339,324.9,95,93.8,13,9,20,25,11,77.0,37.2,4.1,9,29,110,2,15,11,102,1
Jamaal Williams,DET,124.5,195,189.6,59,59.7,10,7,10,14,12,36.0,107.3,7.7,14,107,460,1,45,39,253,5
Gus Edwards,BAL,120.2,287,274.6,76,79.1,12,8,16,15,19,43.0,85.6,5.4,16,133,711,2,7,7,45,0
Tony Pollard,DAL,114.4,152,151.3,50,50.2,9,6,23,20,25,50.0,72.2,5.2,14,86,455,2,20,15,107,1
Adrian Peterson,DET,112.2,261,226.2,77,74.5,12,8,32,32,32,28.0,130.0,8.7,15,211,898,5,23,17,142,0
Malcolm Brown,MIA,106.3,231,232.0,67,69.2,11,7,30,27,27,58.0,57.1,4.4,13,69,255,5,6,2,16,0
