name,Team,Avg,projRank,avgRank,newPosRank,avgPosRank,tier,posTier,fullSos,seasonSos,playoffSos,pastPosRank,pastPoints,pastPPG,games,recTarget,receptions,recYard,recTD
Travis Kelce,KC,20.9,17,17.4,1,1.3,3,1,21,18,15,1.0,157.3,9.8,16,136,97,1229,5
Darren Waller,LV,16.8,55,57.1,5,5.3,6,2,17,13,25,4.0,131.0,8.2,16,117,90,1145,3
Robert Tonyan,GB,11.1,400,305.4,57,42.6,14,7,18,17,17,65.0,16.0,1.8,9,15,10,100,1
Logan Thomas,WAS,10.9,343,286.4,47,39.3,13,6,29,29,22,50.0,23.3,1.8,13,28,16,173,1
Mark Andrews,BAL,12.6,34,36.0,3,3.5,4,1,13,9,28,2.0,143.2,9.5,15,98,64,852,10
Mike Gesicki,MIA,10.7,110,115.0,11,12.9,8,3,32,30,27,11.0,85.0,5.7,15,89,51,570,5
Hunter Henry,NE,10.4,83,85.7,7,8.4,7,2,11,7,29,8.0,93.2,7.8,12,76,55,652,5
Eric Ebron,PIT,9.5,156,162.2,21,20.5,9,4,22,22,11,23.0,55.5,5.0,11,52,31,375,3
Jimmy Graham,CHI,9.4,244,244.8,29,30.4,11,5,12,21,1,20.0,62.7,3.9,16,60,38,447,3
Noah Fant,DEN,10.0,125,131.0,15,15.1,9,3,15,19,6,16.0,71.0,4.4,16,66,40,562,3
Jonnu Smith,NE,10.7,128,132.2,17,15.6,9,3,20,20,13,17.0,69.7,4.6,15,44,35,439,3
Evan Engram,NYG,9.2,73,74.2,6,7.0,6,2,6,6,21,19.0,65.4,8.2,8,68,44,467,3
Hayden Hurst,ATL,9.1,89,94.0,9,9.5,7,2,16,8,30,34.0,46.9,2.9,16,39,30,349,2
Dalton Schultz,DAL,8.8,448,356.7,67,62.1,15,8,27,27,24,113.0,0.6,0.3,2,2,1,6,0
Tyler Higbee,LAR,8.7,84,85.9,8,8.7,7,2,8,15,4,9.0,91.4,6.5,14,89,69,734,3
Jared Cook,LAC,8.1,112,118.6,12,13.1,8,3,1,1,10,6.0,124.5,8.9,14,65,43,705,9
Dan Arnold,CAR,6.0,334,279.3,40,37.2,13,6,23,25,9,49.0,24.7,4.9,5,14,8,127,2
Gerald Everett,SEA,5.9,230,232.7,28,28.7,11,5,8,15,4,28.0,52.8,4.4,12,60,37,408,2
Tyler Eifert,JAC,5.8,249,247.4,32,30.6,12,5,10,10,14,22.0,61.6,3.9,16,63,43,436,3
Mo Alie-Cox,IND,5.7,426,358.4,55,54.2,15,7,14,11,23,80.0,9.3,1.0,9,11,8,93,0
Anthony Firkser,TEN,5.3,410,350.1,56,50.5,14,7,20,20,13,47.0,26.4,2.6,10,24,14,204,1
Darren Fells,DET,5.9,317,288.6,37,37.2,13,6,24,28,8,12.0,76.1,5.1,15,48,34,341,7
Drew Sample,CIN,5.0,389,343.8,50,49.3,14,7,31,32,18,98.0,3.0,0.8,4,6,5,30,0
Cameron Brate,TB,4.7,305,303.7,35,39.6,13,5,9,14,7,24.0,55.1,3.9,14,56,36,311,4
Jacob Hollister,BUF,4.3,346,313.0,42,45.5,14,6,19,24,5,27.0,52.9,5.3,10,59,41,349,3
Jack Doyle,IND,4.6,143,145.9,19,18.2,9,4,14,11,23,18.0,68.8,4.6,15,72,43,448,4
Will Dissly,SEA,4.2,243,246.0,31,30.7,11,5,19,24,5,30.0,50.9,8.5,6,27,23,262,4
Chris Herndon,NYJ,4.2,147,153.4,20,18.5,9,4,26,23,31,112.0,0.7,0.7,1,2,1,7,0
Durham Smythe,MIA,3.8,500,500.0,82,73.0,0,8,32,30,27,87.0,6.5,0.8,8,14,7,65,0
James O'Shaughnessy,JAC,3.7,462,364.5,66,58.9,15,8,10,10,14,46.0,27.3,5.5,5,20,14,153,2
Ross Dwelley,SF,3.0,483,364.8,76,66.2,16,8,5,3,20,53.0,21.1,3.5,6,22,15,91,2
Adam Shaheen,MIA,3.0,473,362.0,71,61.5,15,8,32,30,27,91.0,5.4,0.8,7,13,9,74,0
Ian Thomas,CAR,2.8,166,175.6,22,22.8,10,4,2,5,3,55.0,19.6,2.2,9,30,16,136,1
Jesse James,FA,2.5,442,365.1,63,57.0,15,7,4,4,16,69.0,14.2,1.1,13,27,16,142,0
Tyler Conklin,MIN,2.9,500,500.0,91,81.4,0,9,3,2,19,89.0,5.8,1.2,5,10,8,58,0
Kaden Smith,NYG,1.9,403,343.5,52,48.9,14,7,6,6,21,37.0,44.8,6.4,7,42,31,268,3
Blake Bell,KC,1.7,500,500.0,88,76.2,0,9,27,27,24,86.0,6.7,0.6,11,15,8,67,0
Luke Stocker,ATL,0.9,500,500.0,500,500.0,0,0,16,8,30,92.0,5.3,0.5,11,14,8,53,0
Levine Toilolo,NYG,0.5,500,328.5,83,76.1,16,8,6,6,21,109.0,1.0,0.5,2,2,2,10,0
Jaeden Graham,ATL,0.4,445,365.6,64,57.0,15,7,16,8,30,54.0,20.9,4.2,5,10,9,149,1
